league_id,id_temporada,match_api_id,home_team_goal,away_team_goal,goal
21518,2,530243,3,1,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>27</elapsed><player1>38578</player1><sortorder>0</sortorder><team>8603</team><id>491536</id><n>19</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>37</elapsed><player1>25571</player1><sortorder>0</sortorder><team>8603</team><id>491684</id><n>20</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>71</elapsed><player1>38578</player1><sortorder>0</sortorder><team>8603</team><id>492137</id><n>24</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>86</elapsed><player1>35638</player1><sortorder>0</sortorder><team>8696</team><id>492336</id><n>25</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530244,2,3,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>393</event_incident_typefk><elapsed>20</elapsed><player2>78404</player2><subtype>shot</subtype><player1>97334</player1><sortorder>2</sortorder><team>9869</team><id>489283</id><n>237</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>52</elapsed><subtype>shot</subtype><player1>41294</player1><sortorder>0</sortorder><team>9869</team><id>489372</id><n>271</n><type>goal</type><goal_type>n</goal_type></value><value><comment>p</comment><stats><penalties>1</penalties></stats><event_incident_typefk>20</event_incident_typefk><elapsed>69</elapsed><player1>30909</player1><sortorder>0</sortorder><team>10267</team><id>489408</id><n>290</n><type>goal</type><goal_type>p</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>81</elapsed><subtype>shot</subtype><player1>24383</player1><sortorder>1</sortorder><team>9869</team><id>489435</id><n>304</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><elapsed_plus>1</elapsed_plus><event_incident_typefk>393</event_incident_typefk><elapsed>90</elapsed><player2>32761</player2><subtype>shot</subtype><player1>41468</player1><sortorder>0</sortorder><team>10267</team><id>489461</id><n>315</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530245,3,4,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>14</elapsed><player1>38008</player1><sortorder>0</sortorder><team>8388</team><id>491396</id><n>1</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>35</elapsed><player1>24099</player1><sortorder>0</sortorder><team>8558</team><id>491621</id><n>25</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>52</elapsed><player1>102002</player1><sortorder>0</sortorder><team>8388</team><id>491936</id><n>31</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>63</elapsed><player1>33768</player1><sortorder>0</sortorder><team>8558</team><id>492067</id><n>35</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>67</elapsed><player1>32764</player1><sortorder>0</sortorder><team>8558</team><id>492152</id><n>28</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>84</elapsed><player1>38550</player1><sortorder>0</sortorder><team>8388</team><id>492312</id><n>33</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>90</elapsed><player1>74721</player1><sortorder>0</sortorder><team>8388</team><id>492416</id><n>30</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530246,4,1,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>26</elapsed><player1>30839</player1><sortorder>0</sortorder><team>9906</team><id>491518</id><n>21</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>52</elapsed><player1>38460</player1><sortorder>0</sortorder><team>9906</team><id>491901</id><n>22</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>67</elapsed><player1>33632</player1><sortorder>0</sortorder><team>9906</team><id>492057</id><n>25</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>81</elapsed><player1>38460</player1><sortorder>0</sortorder><team>9906</team><id>492226</id><n>23</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>86</elapsed><player1>41167</player1><sortorder>0</sortorder><team>9783</team><id>492313</id><n>20</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530247,2,0,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>131</event_incident_typefk><elapsed>15</elapsed><subtype>loose_ball</subtype><player1>37605</player1><sortorder>2</sortorder><team>8315</team><id>492544</id><n>243</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>393</event_incident_typefk><elapsed>89</elapsed><player2>33025</player2><subtype>shot</subtype><player1>33030</player1><sortorder>0</sortorder><team>8315</team><id>492851</id><n>341</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530248,2,1,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>44</elapsed><player1>75310</player1><sortorder>0</sortorder><team>9865</team><id>491751</id><n>19</n><type>goal</type><goal_type>n</goal_type></value><value><comment>p</comment><stats><penalties>1</penalties></stats><event_incident_typefk>20</event_incident_typefk><elapsed>68</elapsed><player1>75310</player1><sortorder>0</sortorder><team>9865</team><id>492091</id><n>18</n><type>goal</type><goal_type>p</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>90</elapsed><player1>41718</player1><sortorder>0</sortorder><team>8661</team><id>492404</id><n>22</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530249,2,2,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>8</elapsed><subtype>shot</subtype><player1>38699</player1><sortorder>1</sortorder><team>10205</team><id>491269</id><n>243</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>130</event_incident_typefk><elapsed>30</elapsed><subtype>direct_freekick</subtype><player1>37450</player1><sortorder>0</sortorder><team>9864</team><id>491520</id><n>290</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>393</event_incident_typefk><elapsed>50</elapsed><player2>37478</player2><subtype>shot</subtype><player1>38551</player1><sortorder>0</sortorder><team>10205</team><id>491864</id><n>285</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>406</event_incident_typefk><elapsed>90</elapsed><player2>32763</player2><subtype>header</subtype><player1>25913</player1><sortorder>1</sortorder><team>9864</team><id>492323</id><n>303</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530250,1,0,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>393</event_incident_typefk><elapsed>48</elapsed><player2>75192</player2><subtype>shot</subtype><player1>6911</player1><sortorder>2</sortorder><team>10281</team><id>489007</id><n>284</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530251,0,2,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>36</elapsed><player1>34106</player1><sortorder>0</sortorder><team>8302</team><id>491634</id><n>18</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>90</elapsed><player1>37202</player1><sortorder>0</sortorder><team>8302</team><id>492388</id><n>17</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530252,0,2,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>393</event_incident_typefk><elapsed>52</elapsed><player2>39854</player2><subtype>shot</subtype><player1>30981</player1><sortorder>1</sortorder><team>8634</team><id>493171</id><n>265</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>393</event_incident_typefk><elapsed>86</elapsed><player2>33639</player2><subtype>shot</subtype><player1>26146</player1><sortorder>2</sortorder><team>8634</team><id>493285</id><n>301</n><type>goal</type><goal_type>n</goal_type></value></goal>
